"No.","Time","Source","Destination","Protocol","Length","Info"
"105","80.398471","127.0.0.1","127.0.0.1","TCP","44","51710  >  12000 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"106","80.398498","127.0.0.1","127.0.0.1","TCP","49","51710  >  12000 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=5"
"107","80.398524","127.0.0.1","127.0.0.1","TCP","44","12000  >  51710 [ACK] Seq=1 Ack=6 Win=2619648 Len=0"
"108","80.398680","127.0.0.1","127.0.0.1","TCP","44","12000  >  51709 [FIN, ACK] Seq=12 Ack=29 Win=2619648 Len=0"
"109","80.398718","127.0.0.1","127.0.0.1","TCP","44","51709  >  12000 [ACK] Seq=29 Ack=13 Win=2619648 Len=0"
"110","80.399626","127.0.0.1","127.0.0.1","TCP","47","12000  >  51710 [PSH, ACK] Seq=1 Ack=6 Win=2619648 Len=3"
"111","80.399674","127.0.0.1","127.0.0.1","TCP","44","51710  >  12000 [ACK] Seq=6 Ack=4 Win=2619648 Len=0"
"112","80.400186","127.0.0.1","127.0.0.1","TCP","52","51710  >  12000 [PSH, ACK] Seq=6 Ack=4 Win=2619648 Len=8[Malformed Packet]"
"113","80.400231","127.0.0.1","127.0.0.1","TCP","44","12000  >  51710 [ACK] Seq=4 Ack=14 Win=2619648 Len=0"
"114","80.400952","127.0.0.1","127.0.0.1","TCP","44","51710  >  12000 [FIN, ACK] Seq=14 Ack=4 Win=2619648 Len=0"
"115","80.400998","127.0.0.1","127.0.0.1","TCP","44","12000  >  51710 [ACK] Seq=4 Ack=15 Win=2619648 Len=0"
"116","90.468127","127.0.0.1","127.0.0.1","TCP","56","51711  >  12000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"117","90.468199","127.0.0.1","127.0.0.1","TCP","56","12000  >  51711 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"118","90.468245","127.0.0.1","127.0.0.1","TCP","44","51711  >  12000 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"119","90.468301","127.0.0.1","127.0.0.1","TCP","54","51711  >  12000 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=10"
"120","90.468322","127.0.0.1","127.0.0.1","TCP","44","12000  >  51711 [ACK] Seq=1 Ack=11 Win=2619648 Len=0"
"121","90.468482","127.0.0.1","127.0.0.1","TCP","44","12000  >  51710 [FIN, ACK] Seq=4 Ack=15 Win=2619648 Len=0"
"122","90.468521","127.0.0.1","127.0.0.1","TCP","44","51710  >  12000 [ACK] Seq=15 Ack=5 Win=2619648 Len=0"
"123","90.469472","127.0.0.1","127.0.0.1","TCP","54","12000  >  51711 [PSH, ACK] Seq=1 Ack=11 Win=2619648 Len=10"
"124","90.469512","127.0.0.1","127.0.0.1","TCP","44","51711  >  12000 [ACK] Seq=11 Ack=11 Win=2619648 Len=0"
"125","90.470258","127.0.0.1","127.0.0.1","TCP","59","51711  >  12000 [PSH, ACK] Seq=11 Ack=11 Win=2619648 Len=15"
"126","90.470299","127.0.0.1","127.0.0.1","TCP","44","12000  >  51711 [ACK] Seq=11 Ack=26 Win=2619648 Len=0"
"127","90.470850","127.0.0.1","127.0.0.1","TCP","44","51711  >  12000 [FIN, ACK] Seq=26 Ack=11 Win=2619648 Len=0"
"128","90.470886","127.0.0.1","127.0.0.1","TCP","44","12000  >  51711 [ACK] Seq=11 Ack=27 Win=2619648 Len=0"
"129","100.516125","127.0.0.1","127.0.0.1","TCP","56","51712  >  12000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"130","100.516196","127.0.0.1","127.0.0.1","TCP","56","12000  >  51712 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"131","100.516241","127.0.0.1","127.0.0.1","TCP","44","51712  >  12000 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"132","100.516279","127.0.0.1","127.0.0.1","TCP","51","51712  >  12000 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=7"
"133","100.516299","127.0.0.1","127.0.0.1","TCP","44","12000  >  51712 [ACK] Seq=1 Ack=8 Win=2619648 Len=0"
"134","100.516458","127.0.0.1","127.0.0.1","TCP","44","12000  >  51711 [FIN, ACK] Seq=11 Ack=27 Win=2619648 Len=0"
"135","100.516498","127.0.0.1","127.0.0.1","TCP","44","51711  >  12000 [ACK] Seq=27 Ack=12 Win=2619648 Len=0"
"136","100.517447","127.0.0.1","127.0.0.1","TCP","47","12000  >  51712 [PSH, ACK] Seq=1 Ack=8 Win=2619648 Len=3"
"137","100.517487","127.0.0.1","127.0.0.1","TCP","44","51712  >  12000 [ACK] Seq=8 Ack=4 Win=2619648 Len=0"
"138","100.518055","127.0.0.1","127.0.0.1","TCP","52","51712  >  12000 [PSH, ACK] Seq=8 Ack=4 Win=2619648 Len=8[Malformed Packet]"
"139","100.518104","127.0.0.1","127.0.0.1","TCP","44","12000  >  51712 [ACK] Seq=4 Ack=16 Win=2619648 Len=0"
"140","100.518826","127.0.0.1","127.0.0.1","TCP","44","51712  >  12000 [FIN, ACK] Seq=16 Ack=4 Win=2619648 Len=0"
"141","100.518873","127.0.0.1","127.0.0.1","TCP","44","12000  >  51712 [ACK] Seq=4 Ack=17 Win=2619648 Len=0"
"150","110.544092","127.0.0.1","127.0.0.1","TCP","56","51713  >  12000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"151","110.544171","127.0.0.1","127.0.0.1","TCP","56","12000  >  51713 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"152","110.544232","127.0.0.1","127.0.0.1","TCP","44","51713  >  12000 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"153","110.544272","127.0.0.1","127.0.0.1","TCP","71","51713  >  12000 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=27"
"154","110.544292","127.0.0.1","127.0.0.1","TCP","44","12000  >  51713 [ACK] Seq=1 Ack=28 Win=2619648 Len=0"
"155","110.544434","127.0.0.1","127.0.0.1","TCP","44","12000  >  51712 [FIN, ACK] Seq=4 Ack=17 Win=2619648 Len=0"
"156","110.544473","127.0.0.1","127.0.0.1","TCP","44","51712  >  12000 [ACK] Seq=17 Ack=5 Win=2619648 Len=0"
"157","110.545483","127.0.0.1","127.0.0.1","TCP","71","12000  >  51713 [PSH, ACK] Seq=1 Ack=28 Win=2619648 Len=27"
"158","110.545525","127.0.0.1","127.0.0.1","TCP","44","51713  >  12000 [ACK] Seq=28 Ack=28 Win=2619648 Len=0"
"159","110.546262","127.0.0.1","127.0.0.1","TCP","76","51713  >  12000 [PSH, ACK] Seq=28 Ack=28 Win=2619648 Len=32"
"160","110.546301","127.0.0.1","127.0.0.1","TCP","44","12000  >  51713 [ACK] Seq=28 Ack=60 Win=2619648 Len=0"
"161","110.546775","127.0.0.1","127.0.0.1","TCP","44","51713  >  12000 [FIN, ACK] Seq=60 Ack=28 Win=2619648 Len=0"
"162","110.546809","127.0.0.1","127.0.0.1","TCP","44","12000  >  51713 [ACK] Seq=28 Ack=61 Win=2619648 Len=0"
"163","120.623511","127.0.0.1","127.0.0.1","TCP","56","51714  >  12000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"164","120.623605","127.0.0.1","127.0.0.1","TCP","56","12000  >  51714 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"165","120.623673","127.0.0.1","127.0.0.1","TCP","44","51714  >  12000 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"166","120.623718","127.0.0.1","127.0.0.1","TCP","46","51714  >  12000 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=2"
"167","120.623744","127.0.0.1","127.0.0.1","TCP","44","12000  >  51714 [ACK] Seq=1 Ack=3 Win=2619648 Len=0"
"168","120.623881","127.0.0.1","127.0.0.1","TCP","44","12000  >  51713 [FIN, ACK] Seq=28 Ack=61 Win=2619648 Len=0"
"169","120.623914","127.0.0.1","127.0.0.1","TCP","44","51713  >  12000 [ACK] Seq=61 Ack=29 Win=2619648 Len=0"
"170","120.624772","127.0.0.1","127.0.0.1","TCP","47","12000  >  51714 [PSH, ACK] Seq=1 Ack=3 Win=2619648 Len=3"
"171","120.624814","127.0.0.1","127.0.0.1","TCP","44","51714  >  12000 [ACK] Seq=3 Ack=4 Win=2619648 Len=0"
"172","120.625373","127.0.0.1","127.0.0.1","TCP","52","51714  >  12000 [PSH, ACK] Seq=3 Ack=4 Win=2619648 Len=8[Malformed Packet]"
"173","120.625413","127.0.0.1","127.0.0.1","TCP","44","12000  >  51714 [ACK] Seq=4 Ack=11 Win=2619648 Len=0"
"174","120.625962","127.0.0.1","127.0.0.1","TCP","44","51714  >  12000 [FIN, ACK] Seq=11 Ack=4 Win=2619648 Len=0"
"175","120.625999","127.0.0.1","127.0.0.1","TCP","44","12000  >  51714 [ACK] Seq=4 Ack=12 Win=2619648 Len=0"
"176","130.677793","127.0.0.1","127.0.0.1","TCP","56","51715  >  12000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"177","130.677863","127.0.0.1","127.0.0.1","TCP","56","12000  >  51715 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"178","130.677908","127.0.0.1","127.0.0.1","TCP","44","51715  >  12000 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"179","130.677947","127.0.0.1","127.0.0.1","TCP","60","51715  >  12000 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=16"
"180","130.677968","127.0.0.1","127.0.0.1","TCP","44","12000  >  51715 [ACK] Seq=1 Ack=17 Win=2619648 Len=0"
"181","130.678167","127.0.0.1","127.0.0.1","TCP","44","12000  >  51714 [FIN, ACK] Seq=4 Ack=12 Win=2619648 Len=0"
"182","130.678210","127.0.0.1","127.0.0.1","TCP","44","51714  >  12000 [ACK] Seq=12 Ack=5 Win=2619648 Len=0"
"183","130.679583","127.0.0.1","127.0.0.1","TCP","60","12000  >  51715 [PSH, ACK] Seq=1 Ack=17 Win=2619648 Len=16"
"184","130.679625","127.0.0.1","127.0.0.1","TCP","44","51715  >  12000 [ACK] Seq=17 Ack=17 Win=2619648 Len=0"
"185","130.680386","127.0.0.1","127.0.0.1","TCP","65","51715  >  12000 [PSH, ACK] Seq=17 Ack=17 Win=2619648 Len=21"
"186","130.680427","127.0.0.1","127.0.0.1","TCP","44","12000  >  51715 [ACK] Seq=17 Ack=38 Win=2619648 Len=0"
"187","130.681050","127.0.0.1","127.0.0.1","TCP","44","51715  >  12000 [FIN, ACK] Seq=38 Ack=17 Win=2619648 Len=0"
"188","130.681088","127.0.0.1","127.0.0.1","TCP","44","12000  >  51715 [ACK] Seq=17 Ack=39 Win=2619648 Len=0"
"189","140.726668","127.0.0.1","127.0.0.1","TCP","56","51717  >  12000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"190","140.726742","127.0.0.1","127.0.0.1","TCP","56","12000  >  51717 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"191","140.726787","127.0.0.1","127.0.0.1","TCP","44","51717  >  12000 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"192","140.726825","127.0.0.1","127.0.0.1","TCP","52","51717  >  12000 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=8"
"193","140.726846","127.0.0.1","127.0.0.1","TCP","44","12000  >  51717 [ACK] Seq=1 Ack=9 Win=2619648 Len=0"
"194","140.727025","127.0.0.1","127.0.0.1","TCP","44","12000  >  51715 [FIN, ACK] Seq=17 Ack=39 Win=2619648 Len=0"
